"Placemarkopen","TrackaltitudeMode","Trackwhen","Longitude","Latitude","Altitude"
"","","2010-12-13T20:45:52.2073437Z","13.742192000","46.433041000","1809.810960"
"","","2010-12-13T20:45:52.2073437Z","13.742272000","46.433091000","1807.890720"
"","","2010-12-13T20:45:52.2073437Z","13.742362000","46.433141000","1805.482800"
"","","2010-12-13T20:45:52.2073437Z","13.742402000","46.433191000","1800.697440"
"","","2010-12-13T20:45:52.2073437Z","13.742462000","46.433241000","1794.906240"
"","","2010-12-13T20:45:52.2073437Z","13.742532000","46.433301000","1792.041120"
"","","2010-12-13T20:45:52.2073437Z","13.742612000","46.433361000","1788.200640"
"","","2010-12-13T20:45:52.2073437Z","13.742692000","46.433431000","1786.737600"
"","","2010-12-13T20:45:52.2073437Z","13.742722000","46.433511000","1782.897120"
"","","2010-12-13T20:45:52.2073437Z","13.742712000","46.433601000","1779.056640"
"","","2010-12-13T20:45:52.2073437Z","13.742732000","46.433681000","1779.544320"
"","","2010-12-13T20:45:52.2073437Z","13.742792000","46.433701000","1772.320560"
"","","2010-12-13T20:45:52.2073437Z","13.743022000","46.433781000","1767.535200"
"","","2010-12-13T20:45:52.2073437Z","13.743132000","46.433811000","1760.799120"
"","","2010-12-13T20:45:52.2073437Z","13.743212000","46.433841000","1759.823760"
"","","2010-12-13T20:45:52.2073437Z","13.743292000","46.433911000","1759.823760"
"","","2010-12-13T20:45:52.2073437Z","13.743392000","46.433961000","1757.903520"
"","","2010-12-13T20:45:52.2073437Z","13.743472000","46.434031000","1757.415840"
"","","2010-12-13T20:45:52.2073437Z","13.743532000","46.434121000","1755.495600"
"","","2010-12-13T20:45:52.2073437Z","13.743542000","46.434211000","1753.087680"
"","","2010-12-13T20:45:52.2073437Z","13.743653000","46.434271000","1751.655120"
"","","2010-12-13T20:45:52.2073437Z","13.743753000","46.434301000","1748.302320"
"","","2010-12-13T20:45:52.2073437Z","13.743893000","46.434311000","1747.326960"
"","","2010-12-13T20:45:52.2073437Z","13.743983000","46.434321000","1742.053920"
"","","2010-12-13T20:45:52.2073437Z","13.744123000","46.434341000","1737.238080"
"","","2010-12-13T20:45:52.2073437Z","13.744233000","46.434391000","1736.293200"
"","","2010-12-13T20:45:52.2073437Z","13.744313000","46.434451000","1734.342480"
"","","2010-12-13T20:45:52.2073437Z","13.744343000","46.434541000","1732.909920"
